case,satellite_gain_dbi,user_gain_dbi,user_index,satellite_index,legacy_formula_rate_bps,standard_friis_rate_bps,legacy_formula_snr_db,standard_friis_snr_db
sat60_user50,60.0,50.0,124,0,4321527.869314963,16315000.621122072,21.652239673357915,81.85507607557183
sat60_user50,60.0,50.0,124,1,2130293.138885259,14049318.082249235,10.30059156896926,70.48776896819935
sat60_user50,60.0,50.0,125,0,3668764.590935805,15650138.204387132,18.343670090440796,78.51935053571641
sat60_user50,60.0,50.0,125,1,4535510.301227996,16525912.197803807,22.732322195713415,82.91325459859814
sat60_user50,60.0,50.0,126,0,3138837.433511897,15113968.084045183,15.630898627117544,75.82929566663141
sat60_user50,60.0,50.0,126,1,1881223.6419915308,13770119.495508838,8.913708685815878,69.08698299785607
sat60_user50,60.0,50.0,127,0,4811950.417168082,16801921.605481986,24.125592542679332,84.29803978460372
sat60_user50,60.0,50.0,127,1,3086301.3696968327,15058067.606788017,15.359878654851578,75.54883365195667
sat60_user50,60.0,50.0,128,0,3826434.6964625586,15814451.255781597,19.14530419791554,79.34373649875573
sat60_user50,60.0,50.0,128,1,2276240.3907689075,14206222.427422639,11.095260237395838,71.27498427166975
sat60_user50,60.0,50.0,129,0,2415598.5650925776,14358520.450739732,11.844340760095482,72.0390888788901
sat60_user50,60.0,50.0,129,1,3120455.2304246565,15090962.01048714,15.536122210303915,75.71387035985167
sat60_user50,60.0,50.0,130,0,3645984.252931237,15629018.878801849,18.2276811919596,78.4133913593853
sat60_user50,60.0,50.0,130,1,2414674.9677914907,14356940.366242882,11.839403701270964,72.03116133124001
sat60_user50,60.0,50.0,131,0,2505840.2990651825,14450064.803612404,12.325126340060939,72.4983821752821
sat60_user50,60.0,50.0,131,1,1652395.4252560562,13510352.745336045,7.593515050124936,67.7836897489948
